ts,equity_usdt,note
2017-08-17 08:10:00+00:00,1000.0,
2017-08-17 12:20:00+00:00,1000.0,
2017-08-17 16:30:00+00:00,1000.0,
2017-08-17 20:40:00+00:00,1000.0,
2017-08-18 00:50:00+00:00,1000.0,
2017-08-18 05:00:00+00:00,1000.0,
2017-08-18 09:10:00+00:00,1000.0,
2017-08-18 13:20:00+00:00,1000.0,
2017-08-18 17:30:00+00:00,1000.0,
2017-08-18 21:40:00+00:00,1000.0,
2017-08-19 01:50:00+00:00,1000.0,
2017-08-19 06:00:00+00:00,1000.0,
2017-08-19 10:10:00+00:00,1000.0,
2017-08-19 14:20:00+00:00,1000.0,
2017-08-19 18:30:00+00:00,1000.0,
2017-08-19 22:40:00+00:00,1000.0,
2017-08-20 02:50:00+00:00,1000.0,
2017-08-20 07:00:00+00:00,1000.0,
2017-08-20 11:10:00+00:00,1000.0,
2017-08-20 15:20:00+00:00,1000.0,
2017-08-20 19:30:00+00:00,1000.0,
2017-08-20 23:40:00+00:00,1000.0,
2017-08-21 03:50:00+00:00,1000.0,
2017-08-21 08:00:00+00:00,1000.0,
2017-08-21 12:10:00+00:00,1000.0,
2017-08-21 16:20:00+00:00,1000.0,
2017-08-21 18:50:00+00:00,975.7388314987309,STOP
2017-08-21 20:30:00+00:00,975.7388314987309,
2017-08-22 00:40:00+00:00,975.7388314987309,
2017-08-22 04:50:00+00:00,975.7388314987309,
2017-08-22 09:00:00+00:00,975.7388314987309,
2017-08-22 13:10:00+00:00,975.7388314987309,
2017-08-22 17:20:00+00:00,975.7388314987309,
2017-08-22 21:30:00+00:00,975.7388314987309,
2017-08-23 01:40:00+00:00,975.7388314987309,
2017-08-23 04:10:00+00:00,981.7165310224843,TP1
2017-08-23 04:40:00+00:00,993.8426843655035,TP2
2017-08-23 05:50:00+00:00,993.8426843655035,
2017-08-23 06:50:00+00:00,999.8097113916543,TP1
2017-08-23 07:25:00+00:00,999.6109031010739,STOP
2017-08-23 10:00:00+00:00,999.6109031010739,
2017-08-23 14:10:00+00:00,999.6109031010739,
2017-08-23 18:20:00+00:00,999.6109031010739,
2017-08-23 22:30:00+00:00,999.6109031010739,
2017-08-24 02:40:00+00:00,999.6109031010739,
2017-08-24 06:50:00+00:00,999.6109031010739,
2017-08-24 11:00:00+00:00,999.6109031010739,
2017-08-24 15:10:00+00:00,999.6109031010739,
2017-08-24 19:20:00+00:00,999.6109031010739,
2017-08-24 23:30:00+00:00,999.6109031010739,
2017-08-25 03:40:00+00:00,999.6109031010739,
2017-08-25 06:50:00+00:00,993.580453791552,STOP
2017-08-25 07:50:00+00:00,993.580453791552,
2017-08-25 10:25:00+00:00,995.3596694958806,TP1
2017-08-25 10:30:00+00:00,995.1609136619041,STOP
2017-08-25 10:55:00+00:00,984.4122296079909,STOP
2017-08-25 12:00:00+00:00,984.4122296079909,
2017-08-25 16:10:00+00:00,984.4122296079909,
2017-08-25 19:30:00+00:00,973.0822416508222,STOP
2017-08-25 20:20:00+00:00,973.0822416508222,
2017-08-26 00:30:00+00:00,973.0822416508222,
2017-08-26 04:40:00+00:00,973.0822416508222,
2017-08-26 08:50:00+00:00,973.0822416508222,
2017-08-26 13:00:00+00:00,973.0822416508222,
2017-08-26 17:10:00+00:00,973.0822416508222,
2017-08-26 21:20:00+00:00,973.0822416508222,
2017-08-27 00:40:00+00:00,976.9323678978486,TP1
2017-08-27 01:30:00+00:00,976.7377125262287,STOP
2017-08-27 02:05:00+00:00,980.9202712083131,TP1
2017-08-27 02:25:00+00:00,980.7248845962994,STOP
2017-08-27 05:40:00+00:00,980.7248845962994,
2017-08-27 09:50:00+00:00,980.7248845962994,
2017-08-27 14:00:00+00:00,980.7248845962994,
2017-08-27 18:10:00+00:00,980.7248845962994,
2017-08-27 22:20:00+00:00,980.7248845962994,
2017-08-28 02:30:00+00:00,980.7248845962994,
2017-08-28 06:40:00+00:00,980.7248845962994,
2017-08-28 10:50:00+00:00,980.7248845962994,
2017-08-28 15:00:00+00:00,980.7248845962994,
2017-08-28 19:10:00+00:00,980.7248845962994,
2017-08-28 23:20:00+00:00,980.7248845962994,
2017-08-29 03:30:00+00:00,980.7248845962994,
2017-08-29 07:40:00+00:00,980.7248845962994,
2017-08-29 08:45:00+00:00,982.5301091654115,TP1
2017-08-29 09:05:00+00:00,986.3121851584402,TP2
2017-08-29 11:50:00+00:00,986.3121851584402,
