ts,equity_usdt,note
2022-01-01 04:10:00+00:00,1000.0,
2022-01-01 08:20:00+00:00,1000.0,
2022-01-01 12:30:00+00:00,1000.0,
2022-01-01 16:40:00+00:00,1000.0,
2022-01-01 20:50:00+00:00,1000.0,
2022-01-02 01:00:00+00:00,1000.0,
2022-01-02 05:10:00+00:00,1000.0,
2022-01-02 09:20:00+00:00,1000.0,
2022-01-02 13:30:00+00:00,1000.0,
2022-01-02 17:40:00+00:00,1000.0,
2022-01-02 21:50:00+00:00,1000.0,
2022-01-03 02:00:00+00:00,1000.0,
2022-01-03 06:10:00+00:00,1000.0,
2022-01-03 10:20:00+00:00,1000.0,
2022-01-03 14:30:00+00:00,1000.0,
2022-01-03 18:40:00+00:00,1000.0,
2022-01-03 22:50:00+00:00,1000.0,
2022-01-04 03:00:00+00:00,1000.0,
2022-01-04 07:10:00+00:00,1000.0,
2022-01-04 11:20:00+00:00,1000.0,
2022-01-04 15:30:00+00:00,1000.0,
2022-01-04 19:40:00+00:00,1000.0,
2022-01-04 23:50:00+00:00,1000.0,
2022-01-05 04:00:00+00:00,1000.0,
2022-01-05 08:10:00+00:00,1000.0,
2022-01-05 12:20:00+00:00,1000.0,
2022-01-05 16:30:00+00:00,1000.0,
2022-01-05 20:40:00+00:00,1000.0,
2022-01-06 00:50:00+00:00,1000.0,
2022-01-06 05:00:00+00:00,1000.0,
2022-01-06 09:10:00+00:00,1000.0,
2022-01-06 13:20:00+00:00,1000.0,
2022-01-06 17:30:00+00:00,1000.0,
2022-01-06 21:40:00+00:00,1000.0,
2022-01-07 01:50:00+00:00,1000.0,
2022-01-07 06:00:00+00:00,1000.0,
2022-01-07 06:25:00+00:00,1006.0834075010064,TP1
2022-01-07 06:40:00+00:00,1018.3617119835147,TP2
2022-01-07 06:40:00+00:00,1006.0276794825085,FUNDING
2022-01-07 10:10:00+00:00,1018.3617119835147,
2022-01-07 10:50:00+00:00,1024.5200147139087,TP1
2022-01-07 12:05:00+00:00,1024.4509970383474,FUNDING
2022-01-07 12:05:00+00:00,1024.174926336102,STOP
2022-01-07 14:20:00+00:00,1024.174926336102,
2022-01-07 18:30:00+00:00,1024.174926336102,
2022-01-07 22:40:00+00:00,1024.174926336102,
2022-01-08 02:50:00+00:00,1024.174926336102,
2022-01-08 07:00:00+00:00,1024.174926336102,
2022-01-08 11:10:00+00:00,1024.174926336102,
2022-01-08 15:20:00+00:00,1024.174926336102,
2022-01-08 19:30:00+00:00,1024.174926336102,
2022-01-08 23:40:00+00:00,1024.174926336102,
2022-01-08 23:55:00+00:00,1024.0691602620711,FUNDING
2022-01-08 23:55:00+00:00,1010.6376250072261,STOP
2022-01-09 03:50:00+00:00,1010.6376250072261,
2022-01-09 08:00:00+00:00,1010.6376250072261,
2022-01-09 12:10:00+00:00,1010.6376250072261,
2022-01-09 16:00:00+00:00,1010.4189849305927,FUNDING
2022-01-09 16:00:00+00:00,996.4688585495012,STOP
2022-01-09 16:20:00+00:00,996.4688585495012,
2022-01-09 20:30:00+00:00,996.4688585495012,
2022-01-10 00:40:00+00:00,996.4688585495012,
2022-01-10 02:10:00+00:00,1002.5408694282017,TP1
2022-01-10 02:40:00+00:00,1002.2800178085113,STOP
2022-01-10 02:40:00+00:00,1002.4886991042637,FUNDING
2022-01-10 04:50:00+00:00,1002.2800178085113,
2022-01-10 09:00:00+00:00,1002.2800178085113,
2022-01-10 13:10:00+00:00,1002.2800178085113,
2022-01-10 17:20:00+00:00,1002.2800178085113,
2022-01-10 21:30:00+00:00,1002.2800178085113,
2022-01-11 01:40:00+00:00,1002.2800178085113,
2022-01-11 04:45:00+00:00,1001.9678495131208,FUNDING
2022-01-11 04:45:00+00:00,987.5717254453099,STOP
2022-01-11 05:50:00+00:00,987.5717254453099,
2022-01-11 10:00:00+00:00,987.5717254453099,
2022-01-11 14:10:00+00:00,987.5717254453099,
2022-01-11 16:00:00+00:00,993.5164540579672,TP1
2022-01-11 16:10:00+00:00,1005.5572144441506,TP2
2022-01-11 16:10:00+00:00,993.4407797797887,FUNDING
2022-01-11 18:20:00+00:00,1005.5572144441506,
2022-01-11 22:30:00+00:00,1005.5572144441506,
2022-01-12 02:40:00+00:00,1005.5572144441506,
2022-01-12 06:00:00+00:00,1011.343635883732,TP1
2022-01-12 06:05:00+00:00,1011.177708479075,FUNDING
2022-01-12 06:05:00+00:00,1010.5139988604473,STOP
2022-01-12 06:50:00+00:00,1010.5139988604473,
2022-01-12 11:00:00+00:00,1010.5139988604473,
2022-01-12 15:10:00+00:00,1010.5139988604473,
2022-01-12 19:20:00+00:00,1010.5139988604473,
2022-01-12 23:30:00+00:00,1010.5139988604473,
2022-01-13 03:40:00+00:00,1010.5139988604473,
2022-01-13 07:50:00+00:00,1010.5139988604473,
2022-01-13 09:30:00+00:00,1016.3013633903447,TP1
2022-01-13 09:50:00+00:00,1016.1254227453417,FUNDING
2022-01-13 09:50:00+00:00,1015.4216601653293,STOP
2022-01-13 12:00:00+00:00,1015.4216601653293,
2022-01-13 16:10:00+00:00,1015.4216601653293,
2022-01-13 20:20:00+00:00,1015.4216601653293,
2022-01-14 00:30:00+00:00,1015.4216601653293,
2022-01-14 04:40:00+00:00,1015.4216601653293,
2022-01-14 08:50:00+00:00,1015.4216601653293,
2022-01-14 13:00:00+00:00,1015.4216601653293,
2022-01-14 17:10:00+00:00,1015.4216601653293,
2022-01-14 21:20:00+00:00,1015.4216601653293,
2022-01-14 23:20:00+00:00,1015.2865680228506,FUNDING
2022-01-14 23:20:00+00:00,1001.7884836023676,STOP
2022-01-15 01:30:00+00:00,1001.7884836023676,
2022-01-15 05:40:00+00:00,1001.7884836023676,
2022-01-15 09:50:00+00:00,1001.7884836023676,
2022-01-15 14:00:00+00:00,1001.7884836023676,
2022-01-15 18:10:00+00:00,1001.7884836023676,
2022-01-15 22:20:00+00:00,1001.7884836023676,
2022-01-16 02:30:00+00:00,1001.7884836023676,
2022-01-16 06:40:00+00:00,1001.7884836023676,
2022-01-16 10:50:00+00:00,1001.7884836023676,
2022-01-16 15:00:00+00:00,1001.7884836023676,
2022-01-16 19:10:00+00:00,1001.7884836023676,
2022-01-16 23:20:00+00:00,1001.7884836023676,
2022-01-17 03:30:00+00:00,1001.7884836023676,
2022-01-17 07:35:00+00:00,1001.5026740196197,FUNDING
2022-01-17 07:35:00+00:00,987.2601084955777,STOP
2022-01-17 07:40:00+00:00,987.2601084955777,
2022-01-17 11:50:00+00:00,987.2601084955777,
2022-01-17 14:05:00+00:00,986.9872086328934,FUNDING
2022-01-17 14:05:00+00:00,973.0037942547058,STOP
2022-01-17 16:00:00+00:00,973.0037942547058,
2022-01-17 20:10:00+00:00,973.0037942547058,
2022-01-18 00:20:00+00:00,973.0037942547058,
2022-01-18 04:30:00+00:00,973.0037942547058,
2022-01-18 08:40:00+00:00,973.0037942547058,
2022-01-18 12:50:00+00:00,973.0037942547058,
2022-01-18 17:00:00+00:00,973.0037942547058,
2022-01-18 21:10:00+00:00,973.0037942547058,
2022-01-19 01:20:00+00:00,973.0037942547058,
2022-01-19 01:40:00+00:00,978.7406743412565,TP1
2022-01-19 01:45:00+00:00,978.6260562555,FUNDING
2022-01-19 01:45:00+00:00,990.4436019287712,TP2
2022-01-19 05:30:00+00:00,990.4436019287712,
2022-01-19 09:40:00+00:00,990.4436019287712,
